cod_divipola,municipio,departamento,tipo,lon,lat
05001,MEDELLÍN,ANTIOQUIA,Municipio,-75.581775,6.246631
05002,ABEJORRAL,ANTIOQUIA,Municipio,-75.428739,5.789315
05004,ABRIAQUÍ,ANTIOQUIA,Municipio,-76.064304,6.632282
05021,ALEJANDRÍA,ANTIOQUIA,Municipio,-75.141346,6.376061
05030,AMAGÁ,ANTIOQUIA,Municipio,-75.702188,6.038708
05031,AMALFI,ANTIOQUIA,Municipio,-75.077501,6.909655
05034,ANDES,ANTIOQUIA,Municipio,-75.878828,5.657194
05036,ANGELÓPOLIS,ANTIOQUIA,Municipio,-75.711389,6.109719
05038,ANGOSTURA,ANTIOQUIA,Municipio,-75.335116,6.885175
05040,ANORÍ,ANTIOQUIA,Municipio,-75.148355,7.074703
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,Municipio,-75.826648,6.556484
05044,ANZÁ,ANTIOQUIA,Municipio,-75.854442,6.302641
05045,APARTADÓ,ANTIOQUIA,Municipio,-76.625279,7.882968
05051,ARBOLETES,ANTIOQUIA,Municipio,-76.426708,8.849317
05055,ARGELIA,ANTIOQUIA,Municipio,-75.14107,5.731474
05059,ARMENIA,ANTIOQUIA,Municipio,-75.786647,6.155667
05079,BARBOSA,ANTIOQUIA,Municipio,-75.331627,6.439195
05086,BELMIRA,ANTIOQUIA,Municipio,-75.667779,6.606319
05088,BELLO,ANTIOQUIA,Municipio,-75.555245,6.333587
05091,BETANIA,ANTIOQUIA,Municipio,-75.97679,5.74615
05093,BETULIA,ANTIOQUIA,Municipio,-75.984452,6.115208
05101,CIUDAD BOLÍVAR,ANTIOQUIA,Municipio,-76.021509,5.850273
05107,BRICEÑO,ANTIOQUIA,Municipio,-75.55036,7.112803
05113,BURITICÁ,ANTIOQUIA,Municipio,-75.907,6.720759
05120,CÁCERES,ANTIOQUIA,Municipio,-75.35205,7.578366
05125,CAICEDO,ANTIOQUIA,Municipio,-75.98293,6.405607
05129,CALDAS,ANTIOQUIA,Municipio,-75.633673,6.091077
05134,CAMPAMENTO,ANTIOQUIA,Municipio,-75.298091,6.979771
05138,CAÑASGORDAS,ANTIOQUIA,Municipio,-76.028228,6.753859
05142,CARACOLÍ,ANTIOQUIA,Municipio,-74.757421,6.409829
05145,CARAMANTA,ANTIOQUIA,Municipio,-75.643868,5.54853
05147,CAREPA,ANTIOQUIA,Municipio,-76.652652,7.755148
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,Municipio,-75.333901,6.082885
05150,CAROLINA,ANTIOQUIA,Municipio,-75.283192,6.725995
05154,CAUCASIA,ANTIOQUIA,Municipio,-75.197996,7.977278
05172,CHIGORODÓ,ANTIOQUIA,Municipio,-76.681531,7.666147
05190,CISNEROS,ANTIOQUIA,Municipio,-75.087047,6.537829
05197,COCORNÁ,ANTIOQUIA,Municipio,-75.185483,6.058295
05206,CONCEPCIÓN,ANTIOQUIA,Municipio,-75.257587,6.394348
05209,CONCORDIA,ANTIOQUIA,Municipio,-75.908448,6.045738
05212,COPACABANA,ANTIOQUIA,Municipio,-75.509384,6.348557
05234,DABEIBA,ANTIOQUIA,Municipio,-76.261614,6.998112
05237,DONMATÍAS,ANTIOQUIA,Municipio,-75.39263,6.485603
05240,EBÉJICO,ANTIOQUIA,Municipio,-75.766413,6.325615
05250,EL BAGRE,ANTIOQUIA,Municipio,-74.799097,7.5975
05264,ENTRERRÍOS,ANTIOQUIA,Municipio,-75.517685,6.566273
05266,ENVIGADO,ANTIOQUIA,Municipio,-75.582192,6.166695
05282,FREDONIA,ANTIOQUIA,Municipio,-75.675072,5.928039
05284,FRONTINO,ANTIOQUIA,Municipio,-76.130765,6.776066
05306,GIRALDO,ANTIOQUIA,Municipio,-75.952158,6.680808
05308,GIRARDOTA,ANTIOQUIA,Municipio,-75.444238,6.379472
05310,GÓMEZ PLATA,ANTIOQUIA,Municipio,-75.220018,6.683269
05313,GRANADA,ANTIOQUIA,Municipio,-75.184446,6.142892
05315,GUADALUPE,ANTIOQUIA,Municipio,-75.239862,6.815069
05318,GUARNE,ANTIOQUIA,Municipio,-75.441612,6.27787
05321,GUATAPÉ,ANTIOQUIA,Municipio,-75.160041,6.232461
05347,HELICONIA,ANTIOQUIA,Municipio,-75.734322,6.206757
05353,HISPANIA,ANTIOQUIA,Municipio,-75.906587,5.799461
05360,ITAGÜÍ,ANTIOQUIA,Municipio,-75.612056,6.175079
05361,ITUANGO,ANTIOQUIA,Municipio,-75.764673,7.171629
05364,JARDÍN,ANTIOQUIA,Municipio,-75.818982,5.597542
05368,JERICÓ,ANTIOQUIA,Municipio,-75.785499,5.789748
05376,LA CEJA,ANTIOQUIA,Municipio,-75.429433,6.028062
05380,LA ESTRELLA,ANTIOQUIA,Municipio,-75.637708,6.145238
05390,LA PINTADA,ANTIOQUIA,Municipio,-75.60781,5.743808
05400,LA UNIÓN,ANTIOQUIA,Municipio,-75.360874,5.973845
05411,LIBORINA,ANTIOQUIA,Municipio,-75.812838,6.677316
05425,MACEO,ANTIOQUIA,Municipio,-74.78716,6.552116
05440,MARINILLA,ANTIOQUIA,Municipio,-75.339345,6.173995
05467,MONTEBELLO,ANTIOQUIA,Municipio,-75.523455,5.946313
05475,MURINDÓ,ANTIOQUIA,Municipio,-76.817485,6.97771
05480,MUTATÁ,ANTIOQUIA,Municipio,-76.435875,7.242875
05483,NARIÑO,ANTIOQUIA,Municipio,-75.176262,5.610777
05490,NECOCLÍ,ANTIOQUIA,Municipio,-76.787271,8.434526
05495,NECHÍ,ANTIOQUIA,Municipio,-74.77647,8.094129
05501,OLAYA,ANTIOQUIA,Municipio,-75.811773,6.626492
05541,PEÑOL,ANTIOQUIA,Municipio,-75.242693,6.219349
05543,PEQUE,ANTIOQUIA,Municipio,-75.910357,7.021029
05576,PUEBLORRICO,ANTIOQUIA,Municipio,-75.839903,5.79158
05579,PUERTO BERRÍO,ANTIOQUIA,Municipio,-74.410016,6.487028
05585,PUERTO NARE,ANTIOQUIA,Municipio,-74.583012,6.186025
05591,PUERTO TRIUNFO,ANTIOQUIA,Municipio,-74.64119,5.871318
05604,REMEDIOS,ANTIOQUIA,Municipio,-74.698135,7.029424
05607,RETIRO,ANTIOQUIA,Municipio,-75.501301,6.062454
05615,RIONEGRO,ANTIOQUIA,Municipio,-75.377316,6.147148
05628,SABANALARGA,ANTIOQUIA,Municipio,-75.816645,6.850028
05631,SABANETA,ANTIOQUIA,Municipio,-75.615479,6.149903
05642,SALGAR,ANTIOQUIA,Municipio,-75.976807,5.964198
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,Municipio,-75.674564,6.916676
05649,SAN CARLOS,ANTIOQUIA,Municipio,-74.988097,6.187746
05652,SAN FRANCISCO,ANTIOQUIA,Municipio,-75.101562,5.963476
05656,SAN JERÓNIMO,ANTIOQUIA,Municipio,-75.726975,6.44809
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,Municipio,-75.683352,6.85009
05659,SAN JUAN DE URABÁ,ANTIOQUIA,Municipio,-76.52857,8.758964
05660,SAN LUIS,ANTIOQUIA,Municipio,-74.993619,6.043017
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,Municipio,-75.556743,6.46012
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,Municipio,-76.380567,8.276884
05667,SAN RAFAEL,ANTIOQUIA,Municipio,-75.02849,6.293759
05670,SAN ROQUE,ANTIOQUIA,Municipio,-75.019109,6.485939
05674,SAN VICENTE FERRER,ANTIOQUIA,Municipio,-75.332616,6.282164
05679,SANTA BÁRBARA,ANTIOQUIA,Municipio,-75.567351,5.875527
05686,SANTA ROSA DE OSOS,ANTIOQUIA,Municipio,-75.460723,6.643366
05690,SANTO DOMINGO,ANTIOQUIA,Municipio,-75.164903,6.473032
05697,EL SANTUARIO,ANTIOQUIA,Municipio,-75.265465,6.136871
05736,SEGOVIA,ANTIOQUIA,Municipio,-74.701596,7.079648
05756,SONSÓN,ANTIOQUIA,Municipio,-75.309596,5.714851
05761,SOPETRÁN,ANTIOQUIA,Municipio,-75.747378,6.500745
05789,TÁMESIS,ANTIOQUIA,Municipio,-75.714429,5.664645
05790,TARAZÁ,ANTIOQUIA,Municipio,-75.401407,7.580127
05792,TARSO,ANTIOQUIA,Municipio,-75.822956,5.864542
05809,TITIRIBÍ,ANTIOQUIA,Municipio,-75.791887,6.062391
05819,TOLEDO,ANTIOQUIA,Municipio,-75.692281,7.010328
05837,TURBO,ANTIOQUIA,Municipio,-76.728858,8.089929
05842,URAMITA,ANTIOQUIA,Municipio,-76.173284,6.898393
05847,URRAO,ANTIOQUIA,Municipio,-76.133951,6.317343
05854,VALDIVIA,ANTIOQUIA,Municipio,-75.439274,7.1652
05856,VALPARAÍSO,ANTIOQUIA,Municipio,-75.624452,5.614555
05858,VEGACHÍ,ANTIOQUIA,Municipio,-74.798714,6.773525
05861,VENECIA,ANTIOQUIA,Municipio,-75.735544,5.964693
05873,VIGÍA DEL FUERTE,ANTIOQUIA,Municipio,-76.896004,6.588164
05885,YALÍ,ANTIOQUIA,Municipio,-74.840059,6.676554
05887,YARUMAL,ANTIOQUIA,Municipio,-75.418828,6.963832
05890,YOLOMBÓ,ANTIOQUIA,Municipio,-75.013385,6.594511
05893,YONDÓ,ANTIOQUIA,Municipio,-73.912445,7.00396
